Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number
BOOT_BUTTON,79.03,80.55,180,BUTTON_CUSYOMV1BUTTON,MYBUTTON,
C1,167,-20.12,90,100nF,EAGLE-LTSPICE_C0402,
C10,67.49,80.42,90,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,108.92,22.05,270,CPH3225A,CAPCP3225X100N,
C1_BAT,143.18,31.34,0,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,141.58,12.88,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,140.82,17.42,270,4.7uF,EAGLE-LTSPICE_C0402,
C2,168.25,-20.12,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,154.41,33.12,90,4.7uF,EAGLE-LTSPICE_C0402,
C3,152.04,13.92,90,100uF TANT,RCL_CT3528,
C4,123.49,6.5,90,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,165.38,30.51,90,100nF,EAGLE-LTSPICE_C0402,
C5,42.6,80.44,90,1uF,EAGLE-LTSPICE_C0402,
C5_USB,171.58,32.26,90,4.7uF,EAGLE-LTSPICE_C0402,
C6,82.65,80.52,90,100nF,EAGLE-LTSPICE_C0402,
C7,110.31,-0.46,0,10uF,EAGLE-LTSPICE_C0402,
C8,106.71,21.46,90,100nF,EAGLE-LTSPICE_C0402,
C9,22.91,72.64,90,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,63.96,80.55,180,BUTTON_CUSYOMV1BUTTON,MYBUTTON,
CHG_LED,143.15,32.72,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,61.67,69.77,90,100nF,EAGLE-LTSPICE_C0402,
D1,168.68,30.23,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,58.47,-3.81,90,PGB1010603MRDIODE,DIOC1608X36N,
D11,56.49,-3.78,90,PGB1010603MRDIODE,DIOC1608X36N,
D12,51.13,-3.99,90,PGB1010603MRDIODE,DIOC1608X36N,
D2,155.88,14.07,90,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,119.71,4.78,0,MBR0530DIODE,SOD3716X135N,
D4,119.76,0.66,0,MBR0530DIODE,SOD3716X135N,
D5,110.34,8.31,0,MBR0530DIODE,SOD3716X135N,
D6,104.49,-6.23,0,PGB1010603MRDIODE,DIOC1608X36N,
D7,101.3,35.46,0,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,30.51,70.82,0,PGB1010603MRDIODE,DIOC1608X36N,
D9,53.06,16.13,90,PGB1010603MRDIODE,DIOC1608X36N,
EPD_C1,122.3,-7.62,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C10,110.03,-7.62,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C11,101.42,-9.88,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C12,99.75,-9.83,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C2,120.52,-7.59,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C5,118.67,-7.67,90,0.1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C6,116.97,-7.72,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C7,115.27,-7.72,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C8,113.59,-7.7,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C9,111.81,-7.67,90,1uF/50V,EAGLE-LTSPICE_C0402,
IC1,58.75,69.42,0,BD5229G-TR,SOT95P280X125-5N,
IC4,146.96,15.04,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,116.56,-14.25,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,181.76,26.05,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,182.19,-8.93,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,23.35,60.79,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,110.39,3.38,0,68uH,IND_4828-WE-TPC_WRE,
MCP73831,147.62,31.8,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
PFMF.050.1,168.48,18.01,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,152.73,23.75,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,104.85,-1.35,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,95.43,-13.36,0,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,34.16,16.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1-PINH1,105.69,29.95,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,25.3,72.69,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,137.8,32.79,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,169.49,-20.12,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,142.29,17.45,90,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,93.95,-16.66,0,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,101.32,33.99,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,168.22,25.35,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,168.2,24.13,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,146.15,27.18,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH,170.71,-20.14,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,96.42,-18.69,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,99.24,-14.1,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,51.36,16.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,58.6,-7.72,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,56.54,-7.77,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,51.21,-7.67,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,98.88,0.3,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,39.01,80.55,180,BUTTON_CUSYOMV1BUTTON,MYBUTTON,
R_BOOT,75.67,80.65,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,98.86,17.37,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,60.45,80.44,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,100.18,0.3,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,35.66,80.42,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,169.01,-14.21,0,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,93.83,-18.59,0,,SJ,
TP1,27.05,43.23,0,TPTP20R,TP20R,
TP10,132.72,1.98,0,TPTP20R,TP20R,
TP11,136.8,1.83,0,TPTP20R,TP20R,
TP12,128.27,-3.58,0,TPTP20R,TP20R,
TP13,132.79,-3.45,0,TPTP20R,TP20R,
TP14,174.93,10.9,0,TPTP20R,TP20R,
TP15,35.74,43.26,0,TPTP20R,TP20R,
TP16,28.75,10.13,0,TPTP20R,TP20R,
TP17,137.24,-3.43,0,TPTP20R,TP20R,
TP2,31.75,43.33,0,TPTP20R,TP20R,
TP3,170.48,10.97,0,TPTP20R,TP20R,
TP4,170.33,5.41,0,TPTP20R,TP20R,
TP5,174.9,5.51,0,TPTP20R,TP20R,
TP6,35.56,48.18,0,TPTP20R,TP20R,
TP7,31.47,48.23,0,TPTP20R,TP20R,
TP8,27.13,48.18,0,TPTP20R,TP20R,
TP9,128.37,1.91,0,TPTP20R,TP20R,
U1,54.31,25.1,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,31.04,28.96,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,98.4,25.6,270,DS3231SN#,SOIC127P1032X265-16N,
U4,156.59,28.17,0,MAX17048G+T10,SON50P200X200X80-9N,
